method,dataset,log_size,precision,recall,F1_measure,parsing_accuracy,iteration_no
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,6
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,7
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,8
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,9
Lenma,Apache,2,1.0000,1.0000,1.0000,1.0000,10
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,1
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,2
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,3
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,4
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,5
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,6
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,7
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,8
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,9
Lenma,HPC,2,0.9843,0.9774,0.9808,0.8295,10
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,1
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,2
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,3
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,4
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,5
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,6
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,7
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,8
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,9
Lenma,Windows,2,0.9893,0.9999,0.9946,0.5655,10
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,1
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,2
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,3
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,4
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,5
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,6
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,7
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,8
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,9
Lenma,HealthApp,2,0.9999,0.2453,0.3940,0.1740,10
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,1
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,2
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,3
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,4
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,5
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,6
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,7
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,8
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,9
Lenma,Mac,2,0.9646,0.9527,0.9587,0.6980,10
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,1
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,2
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,3
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,4
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,5
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,6
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,7
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,8
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,9
Lenma,Spark,2,0.9838,0.9944,0.9891,0.8835,10
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,1
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,2
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,3
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,4
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,5
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,6
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,7
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,8
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,9
LFA,BGL,2,0.9962,0.9996,0.9979,0.8540,10
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,1
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,2
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,3
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,4
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,5
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,6
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,7
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,8
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,9
LFA,OpenStack,2,0.8213,1.0000,0.9019,0.2000,10
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,1
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,2
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,3
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,4
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,5
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,6
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,7
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,8
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,9
LFA,HDFS,2,0.9991,1.0000,0.9995,0.8850,10
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,1
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,2
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,3
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,4
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,5
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,6
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,7
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,8
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,9
LFA,Apache,2,1.0000,1.0000,1.0000,1.0000,10
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,1
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,2
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,3
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,4
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,5
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,6
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,7
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,8
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,9
LFA,HPC,2,0.9607,0.9915,0.9759,0.8165,10
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,1
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,2
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,3
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,4
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,5
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,6
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,7
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,8
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,9
LFA,Windows,2,0.9889,0.8431,0.9102,0.5880,10
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,1
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,2
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,3
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,4
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,5
LFA,HealthApp,2,0.9842,0.8584,0.9170,0.5485,6
